Amakusa Sea,4
Ariake Sea,2
Bungo Channel,1
Central Hidaka,2
Central Iburi Region,2
Central Kamikawa,2
Central Kochi Prefecture,2
Central Mie Prefecture,2
Central Nagano Prefecture,8
Central Shizuoka Prefecture,1
Central Tokachi,1
Central Tottori Prefecture,3
Central Yamaguchi Prefecture,2
Central and Southern Kushiro Region,1
Eastern Aichi Prefecture,2
Eastern Hidaka,2
Eastern Kanagawa Prefecture,3
Eastern Shizuoka,1
Eastern Yamanashi / Fuji Five Lakes,1
Eastern part of Shimane Prefecture,1
Kagoshima Bay,1
Kii Channel,10
Kuril Islands,1
Nara Prefecture,6
Near Iriomote Island,2
Near Kunashiri Island,3
Near Sado,1
Near Taiwan,4
Off Kushiro,9
Off Miyagi Prefecture,63
Off Sanriku,1
Off Tokachi,5
Off Tomakomai,1
Off Urakawa,5
Off the coast of Fukushima Prefecture,125
Off the coast of Ibaraki prefecture,18
Off the coast of Ishigaki Island,1
Off the coast of Iwate Prefecture,11
Off the east coast of Aomori Prefecture,12
Off the east coast of Chiba Prefecture,11
Off the eastern coast of Hachijojima,2
Off the northwest coast of Fukuoka Prefecture,2
Off the southeast coast of Etorofu Island,1
Off the southeast coast of Mie Prefecture,1
Off the southeastern coast of the Nemuro Peninsula,13
Offshore east of Osumi Peninsula,1
Offshore of Iwo Jima,3
Okinawa main island coastal waters,9
Sea near Amami Oshima,10
Sea near Chichijima Island,24
Sea near Izu Oshima,21
Sea near Niijima and Kozushima,2
Sea near Tanegashima,7
Sea near Yonaguni Island,2
Sea near the Goto Islands,1
Sea near the Tokara Islands,180
Wakasa Bay,3
West offshore of the Ogasawara Islands,1
Western Aichi Prefecture,3
Western Kanagawa Prefecture,3
Western Shimane Prefecture,3
Western Tottori Prefecture,1
Yamaguchi prefecture northwest offing,1
off the Noto Peninsula,9
off the east coast of Hokkaido,4
off the southeast coast of Chiba Prefecture,1
off the southwest coast of Hokkaido,1
orange bay,2
west of Satsuma peninsula,1
