地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2022/04/19,23:10:36.5,愛知県東部,35°12.2′N,137°45.5′E,46 km,2.7,震度１
2022/04/19,11:57:14.1,岩手県沿岸北部,39°26.2′N,141°55.2′E,94 km,3.9,震度１
2022/04/19,08:16:00.3,茨城県北部,36°52.6′N,140°20.8′E,93 km,5.4,震度５弱
2022/04/19,05:16:45.5,小笠原諸島西方沖,26°50.6′N,141°06.4′E,16 km,4.7,震度１
2022/04/19,00:01:48.4,東京湾,35°37.3′N,140°03.5′E,70 km,3.3,震度１
2022/04/18,14:50:03.1,父島近海,27°01.0′N,142°20.8′E,73 km,3.6,震度１
2022/04/18,13:36:52.1,福島県会津,37°02.4′N,139°23.6′E,7 km,2.3,震度１
2022/04/18,09:55:27.6,福島県沖,37°44.3′N,141°44.2′E,64 km,3.8,震度１
2022/04/18,09:09:09.0,石川県能登地方,37°31.3′N,137°18.7′E,13 km,3.1,震度１
2022/04/18,04:50:44.5,福島県沖,37°43.0′N,141°34.1′E,54 km,4.1,震度２
2022/04/17,18:08:21.7,福島県沖,36°56.0′N,141°12.5′E,42 km,3.2,震度１
2022/04/17,17:20:40.6,福島県沖,37°45.1′N,141°43.7′E,64 km,3.8,震度１
2022/04/17,03:29:29.8,トカラ列島近海,29°19.6′N,129°28.2′E,17 km,2.3,震度１
2022/04/16,06:48:56.9,京都府南部,35°03.3′N,135°33.7′E,13 km,2.8,震度１
2022/04/16,05:35:11.5,能登半島沖,37°31.2′N,137°12.5′E,13 km,2.7,震度１
2022/04/16,02:23:24.7,茨城県北部,36°27.8′N,140°35.9′E,56 km,3.2,震度１
2022/04/15,15:33:08.3,奄美大島北西沖,28°05.3′N,128°13.4′E,19 km,4.3,震度２
2022/04/15,13:53:05.3,福島県浜通り,37°10.4′N,140°53.8′E,99 km,3.5,震度１
2022/04/15,11:27:49.3,福島県沖,37°49.0′N,141°38.0′E,55 km,3.6,震度１
2022/04/15,03:25:28.7,福島県沖,37°04.8′N,141°08.0′E,50 km,4.3,震度３
2022/04/15,01:24:18.8,福島県沖,37°43.0′N,141°34.2′E,56 km,4.0,震度１
2022/04/14,17:28:06.9,青森県東方沖,41°00.4′N,142°00.4′E,59 km,2.9,震度１
2022/04/14,13:08:02.3,茨城県南部,36°03.0′N,139°54.9′E,44 km,3.5,震度２
2022/04/14,12:40:08.2,八丈島東方沖,33°25.9′N,140°57.0′E,48 km,4.7,震度１
2022/04/14,09:14:59.2,沖縄本島北西沖,26°53.4′N,126°30.5′E,0 km,5.0,震度１
2022/04/14,05:19:21.8,沖縄本島北西沖,26°51.4′N,126°25.5′E,12 km,4.9,震度１
2022/04/14,00:34:45.8,釧路沖,42°32.5′N,144°33.6′E,52 km,3.4,震度１
2022/04/13,21:31:28.8,沖縄本島北西沖,26°51.2′N,126°29.5′E,9 km,3.6,震度１
2022/04/13,15:31:17.3,奄美大島北西沖,28°05.6′N,128°04.8′E,13 km,4.3,震度１
2022/04/13,15:14:39.1,沖縄本島北西沖,26°48.4′N,126°25.2′E,22 km,3.9,震度１
2022/04/13,13:29:10.4,茨城県南部,36°04.3′N,139°55.0′E,46 km,3.2,震度２
2022/04/13,11:12:31.2,京都府南部,35°02.6′N,135°34.1′E,13 km,3.9,震度２
2022/04/13,11:11:09.9,京都府南部,35°02.6′N,135°34.1′E,13 km,3.1,震度１
2022/04/13,10:22:32.8,沖縄本島北西沖,26°51.5′N,126°26.5′E,16 km,5.6,震度２
2022/04/13,09:57:25.7,沖縄本島北西沖,26°51.5′N,126°31.9′E,1 km,3.7,震度１
2022/04/13,09:49:47.0,沖縄本島北西沖,26°43.2′N,126°16.8′E,32 km,3.7,震度１
2022/04/13,06:36:17.7,栃木県北部,37°03.7′N,139°51.7′E,8 km,2.6,震度１
2022/04/13,01:07:54.1,千葉県南東沖,34°36.8′N,140°22.1′E,59 km,4.3,震度２
2022/04/12,23:12:26.1,千葉県北西部,35°39.0′N,140°03.5′E,70 km,3.1,震度１
2022/04/12,19:46:43.2,沖縄本島北西沖,26°47.8′N,126°18.3′E,23 km,4.9,震度１
2022/04/12,10:10:20.8,宮城県沖,38°02.6′N,141°41.1′E,50 km,3.7,震度１
2022/04/12,02:24:10.1,硫黄島近海,25°36.2′N,142°59.2′E,120 km,4.7,震度１
2022/04/11,23:01:25.7,父島近海,27°00.2′N,142°25.4′E,67 km,不明,震度１
2022/04/11,16:28:59.6,京都府南部,35°03.0′N,135°33.5′E,14 km,3.5,震度２
2022/04/11,04:37:06.3,熊本県熊本地方,32°44.2′N,130°40.1′E,12 km,2.6,震度２
2022/04/11,02:09:40.2,日向灘,32°38.9′N,131°59.6′E,34 km,3.2,震度１
2022/04/11,00:34:42.0,長野県南部,35°21.2′N,137°41.0′E,7 km,2.3,震度１
2022/04/10,19:03:03.6,茨城県沖,36°33.9′N,140°57.8′E,53 km,3.0,震度１
2022/04/10,18:43:16.4,茨城県沖,36°15.3′N,141°26.4′E,30 km,5.0,震度２
2022/04/10,17:30:23.8,福島県沖,37°18.2′N,141°49.0′E,39 km,4.8,震度３
2022/04/10,14:16:54.7,房総半島南方沖,34°02.9′N,140°16.0′E,52 km,3.9,震度１
2022/04/10,13:39:38.5,トカラ列島近海,29°17.0′N,129°11.8′E,12 km,2.0,震度１
2022/04/10,13:36:07.3,石川県能登地方,37°31.4′N,137°18.9′E,13 km,3.2,震度２
2022/04/10,13:14:49.4,十勝沖,42°09.4′N,143°27.3′E,44 km,3.6,震度１
2022/04/10,11:32:19.8,紀伊水道,33°50.5′N,134°57.8′E,12 km,3.0,震度１
2022/04/10,02:59:54.7,埼玉県南部,35°47.4′N,139°53.9′E,48 km,3.2,震度１
2022/04/09,22:56:14.3,石川県能登地方,37°30.9′N,137°16.7′E,13 km,2.3,震度１
2022/04/09,11:22:34.3,茨城県沖,36°36.9′N,141°00.8′E,45 km,3.4,震度１
2022/04/09,11:13:21.2,和歌山県南部,33°54.2′N,135°24.0′E,52 km,3.7,震度１
2022/04/09,02:48:12.2,石川県能登地方,37°30.7′N,137°16.5′E,13 km,2.8,震度２
2022/04/08,22:36:43.8,石川県能登地方,37°30.8′N,137°16.7′E,13 km,3.0,震度２
2022/04/08,22:29:00.7,石川県能登地方,37°30.7′N,137°16.7′E,13 km,3.3,震度２
2022/04/08,22:10:26.8,石川県能登地方,37°30.7′N,137°16.6′E,13 km,2.7,震度１
2022/04/08,22:04:57.5,石川県能登地方,37°30.6′N,137°16.9′E,13 km,4.2,震度４
2022/04/08,11:27:17.0,根室半島南東沖,42°55.6′N,146°02.8′E,22 km,4.1,震度２
2022/04/08,09:38:07.9,茨城県北部,36°46.7′N,140°34.1′E,9 km,2.9,震度１
2022/04/08,05:30:29.6,和歌山県南部,33°35.3′N,135°51.3′E,39 km,3.1,震度１
2022/04/08,00:18:25.6,新島・神津島近海,34°15.3′N,139°14.9′E,12 km,2.5,震度１
2022/04/07,22:26:07.0,トカラ列島近海,29°23.1′N,129°33.0′E,13 km,2.4,震度１
2022/04/07,16:46:01.7,福井県嶺北,35°57.0′N,136°44.7′E,6 km,3.1,震度２
2022/04/07,14:48:50.3,大阪府北部,34°51.5′N,135°36.6′E,7 km,3.3,震度２
2022/04/07,14:12:08.2,沖縄本島北西沖,26°46.2′N,126°19.3′E,28 km,4.6,震度２
2022/04/07,09:30:35.0,愛知県東部,34°53.7′N,137°29.9′E,11 km,4.7,震度４
2022/04/07,09:25:21.1,新島・神津島近海,34°15.4′N,139°15.3′E,11 km,2.6,震度１
2022/04/06,19:15:53.2,岐阜県飛騨地方,36°02.3′N,137°33.8′E,8 km,2.7,震度１
2022/04/06,17:14:20.6,和歌山県北部,34°00.9′N,135°12.9′E,6 km,3.6,震度４
2022/04/06,16:20:55.3,豊後水道,33°08.1′N,131°59.9′E,49 km,3.3,震度１
2022/04/06,15:18:35.2,宮城県沖,37°51.5′N,141°45.1′E,64 km,4.2,震度２
2022/04/06,12:12:11.1,沖縄本島北西沖,26°52.3′N,126°32.2′E,9 km,4.4,震度１
2022/04/06,12:10:47.3,沖縄本島北西沖,26°48.5′N,126°26.2′E,26 km,3.4,震度１
2022/04/06,04:55:56.7,奄美大島近海,28°20.3′N,129°31.8′E,39 km,3.0,震度１
2022/04/06,04:19:21.1,奄美大島近海,28°21.0′N,129°31.3′E,40 km,3.5,震度１
2022/04/06,00:03:53.9,福島県沖,37°48.0′N,141°34.9′E,53 km,5.2,震度４
2022/04/05,21:47:20.7,トカラ列島近海,29°21.8′N,129°34.1′E,13 km,2.1,震度１
2022/04/05,06:33:58.6,福島県沖,37°43.5′N,141°35.1′E,56 km,3.9,震度１
2022/04/05,05:10:38.4,秋田県内陸北部,39°57.0′N,140°36.2′E,4 km,2.6,震度１
2022/04/04,22:31:44.9,千葉県北西部,35°45.5′N,139°58.7′E,60 km,3.9,震度２
2022/04/04,22:29:54.0,千葉県北西部,35°44.9′N,139°58.3′E,62 km,4.6,震度３
2022/04/04,22:26:38.6,渡島地方北部,42°03.5′N,140°26.2′E,10 km,2.7,震度１
2022/04/04,19:44:41.5,沖縄本島北西沖,26°45.5′N,126°24.9′E,31 km,3.8,震度２
2022/04/04,19:29:03.9,福島県沖,37°20.6′N,141°34.5′E,44 km,5.4,震度４
2022/04/04,11:18:07.7,能登半島沖,37°31.3′N,137°13.0′E,13 km,3.7,震度２
2022/04/04,10:30:15.4,石川県能登地方,37°30.9′N,137°13.4′E,13 km,3.4,震度２
2022/04/04,10:28:07.7,能登半島沖,37°31.1′N,137°12.9′E,13 km,4.0,震度３
2022/04/04,10:26:24.5,能登半島沖,37°31.0′N,137°13.5′E,14 km,4.3,震度４
2022/04/04,03:45:05.1,宮城県南部,37°51.6′N,140°48.0′E,94 km,3.2,震度１
2022/04/04,00:20:33.7,父島近海,27°00.9′N,142°31.4′E,66 km,4.1,震度１
2022/04/03,21:06:23.6,茨城県沖,36°43.7′N,140°45.8′E,91 km,3.1,震度１
2022/04/03,19:23:04.6,父島近海,27°00.9′N,142°08.9′E,71 km,4.1,震度２
2022/04/03,18:58:33.7,大阪府北部,34°54.9′N,135°37.8′E,11 km,3.9,震度３
2022/04/03,18:25:57.7,沖縄本島北西沖,26°49.7′N,126°26.8′E,20 km,3.9,震度１
2022/04/03,18:00:17.5,沖縄本島北西沖,26°48.5′N,126°32.0′E,22 km,4.7,震度２
2022/04/03,15:21:34.6,東京都多摩東部,35°38.1′N,139°30.9′E,28 km,2.6,震度１
2022/04/03,14:38:01.3,福島県沖,37°51.7′N,141°37.1′E,49 km,3.9,震度１
2022/04/03,14:15:50.1,福島県沖,37°48.0′N,141°38.4′E,51 km,3.9,震度１
2022/04/03,09:31:11.7,福島県沖,37°41.3′N,141°34.8′E,55 km,4.0,震度１
2022/04/03,06:27:49.5,福島県沖,37°37.6′N,141°36.4′E,65 km,3.5,震度１
2022/04/03,05:16:54.5,宮城県沖,37°58.3′N,141°40.8′E,51 km,4.3,震度２
2022/04/02,20:26:21.2,父島近海,27°01.1′N,142°18.8′E,74 km,4.2,震度２
2022/04/02,20:16:43.1,日向灘,31°34.0′N,131°51.0′E,22 km,4.6,震度２
2022/04/02,18:33:51.8,福島県沖,37°49.9′N,141°43.2′E,63 km,4.0,震度１
2022/04/02,16:27:15.3,茨城県北部,36°27.6′N,140°34.7′E,56 km,4.4,震度４
2022/04/02,13:57:45.9,トカラ列島近海,29°19.5′N,129°23.6′E,15 km,2.9,震度１
2022/04/02,09:54:29.2,熊本県天草・芦北地方,32°15.5′N,130°34.3′E,8 km,1.9,震度１
2022/04/02,07:36:30.5,宮城県沖,38°55.1′N,141°56.2′E,51 km,3.9,震度２
2022/04/01,19:53:31.3,茨城県南部,35°58.9′N,140°33.9′E,36 km,2.9,震度１
